gene_id,Not significant,m6A depleted,m6A enriched,msa_var
ENSMUSG00000000823,7,0,0,Not significant
ENSMUSG00000000826,4,3,0,m6A depleted
ENSMUSG00000000827,7,0,0,Not significant
ENSMUSG00000000838,5,2,0,Not significant
ENSMUSG00000000861,5,0,2,Not significant
ENSMUSG00000000869,2,0,0,Not significant
ENSMUSG00000000876,5,0,2,Not significant
ENSMUSG00000000881,7,0,0,Not significant
ENSMUSG00000000884,4,0,3,m6A enriched
ENSMUSG00000000889,7,0,0,Not significant
ENSMUSG00000000901,6,1,0,Not significant
ENSMUSG00000000902,3,4,0,m6A depleted
ENSMUSG00000000903,2,0,0,Not significant
ENSMUSG00000000915,7,0,0,Not significant
ENSMUSG00000000916,3,4,0,m6A depleted
ENSMUSG00000000934,5,2,0,Not significant
ENSMUSG00000000938,4,0,0,Not significant
ENSMUSG00000000942,3,0,2,Not significant
ENSMUSG00000000948,3,4,0,m6A depleted
ENSMUSG00000000957,7,0,0,Not significant
ENSMUSG00000000958,5,2,0,Not significant
ENSMUSG00000000959,7,0,0,Not significant
ENSMUSG00000000976,7,0,0,Not significant
ENSMUSG00000000982,1,0,0,Not significant
ENSMUSG00000000983,3,0,0,Not significant
ENSMUSG00000001014,5,0,0,Not significant
ENSMUSG00000001016,7,0,0,Not significant
ENSMUSG00000001017,6,0,1,Not significant
ENSMUSG00000001018,7,0,0,Not significant
ENSMUSG00000001020,1,0,0,Not significant
ENSMUSG00000001021,3,0,0,Not significant
ENSMUSG00000001023,2,0,0,Not significant
ENSMUSG00000001025,5,2,0,Not significant
ENSMUSG00000001027,5,0,0,Not significant
ENSMUSG00000001029,3,0,0,Not significant
ENSMUSG00000001034,3,0,4,m6A enriched
ENSMUSG00000001036,6,0,1,Not significant
ENSMUSG00000001039,4,3,0,m6A depleted
ENSMUSG00000001052,6,0,1,Not significant
ENSMUSG00000001053,2,0,5,m6A enriched
ENSMUSG00000001054,7,0,0,Not significant
ENSMUSG00000001056,5,2,0,Not significant
ENSMUSG00000001062,5,2,0,Not significant
ENSMUSG00000001065,3,0,4,m6A enriched
ENSMUSG00000001076,5,0,0,Not significant
