gene_id,Not significant,m6A depleted,m6A enriched,msa_var
ENSMUSG00000031728,3,0,4,m6A enriched
ENSMUSG00000031729,7,0,0,Not significant
ENSMUSG00000031730,5,2,0,Not significant
ENSMUSG00000031731,6,0,1,Not significant
ENSMUSG00000031732,3,0,4,m6A enriched
ENSMUSG00000031734,6,0,1,Not significant
ENSMUSG00000031736,7,0,0,Not significant
ENSMUSG00000031737,6,0,1,Not significant
ENSMUSG00000031738,7,0,0,Not significant
ENSMUSG00000031740,5,2,0,Not significant
ENSMUSG00000031748,7,0,0,Not significant
ENSMUSG00000031749,0,0,7,m6A enriched
ENSMUSG00000031750,3,0,0,Not significant
ENSMUSG00000031751,7,0,0,Not significant
ENSMUSG00000031753,7,0,0,Not significant
ENSMUSG00000031754,2,5,0,m6A depleted
ENSMUSG00000031755,3,4,0,m6A depleted
ENSMUSG00000031756,7,0,0,Not significant
ENSMUSG00000031757,2,0,0,Not significant
ENSMUSG00000031758,7,0,0,Not significant
ENSMUSG00000031760,7,0,0,Not significant
ENSMUSG00000031762,5,2,0,Not significant
ENSMUSG00000031765,2,5,0,m6A depleted
ENSMUSG00000031766,7,0,0,Not significant
ENSMUSG00000031767,5,0,2,Not significant
ENSMUSG00000031770,7,0,0,Not significant
ENSMUSG00000031772,5,2,0,Not significant
ENSMUSG00000031774,6,0,1,Not significant
ENSMUSG00000031775,4,1,0,Not significant
ENSMUSG00000031776,4,3,0,m6A depleted
ENSMUSG00000031778,4,0,3,m6A enriched
ENSMUSG00000031779,1,0,0,Not significant
ENSMUSG00000031780,5,0,0,Not significant
ENSMUSG00000031781,3,4,0,m6A depleted
ENSMUSG00000031782,7,0,0,Not significant
ENSMUSG00000031783,3,4,0,m6A depleted
ENSMUSG00000031785,3,4,0,m6A depleted
ENSMUSG00000031786,5,0,0,Not significant
ENSMUSG00000031787,4,3,0,m6A depleted
ENSMUSG00000031788,4,3,0,m6A depleted
ENSMUSG00000031789,7,0,0,Not significant
ENSMUSG00000031790,7,0,0,Not significant
ENSMUSG00000031791,6,1,0,Not significant
ENSMUSG00000031792,5,2,0,Not significant
ENSMUSG00000031796,5,2,0,Not significant
ENSMUSG00000031799,6,0,1,Not significant
ENSMUSG00000031802,3,0,0,Not significant
ENSMUSG00000031803,7,0,0,Not significant
ENSMUSG00000031805,2,5,0,m6A depleted
ENSMUSG00000031807,2,5,0,m6A depleted
ENSMUSG00000031808,7,0,0,Not significant
ENSMUSG00000031812,7,0,0,Not significant
ENSMUSG00000031813,0,7,0,m6A depleted
ENSMUSG00000031816,6,1,0,Not significant
ENSMUSG00000031818,2,5,0,m6A depleted
ENSMUSG00000031819,7,0,0,Not significant
ENSMUSG00000031820,6,1,0,Not significant
ENSMUSG00000031821,6,1,0,Not significant
ENSMUSG00000031822,7,0,0,Not significant
ENSMUSG00000031823,6,0,1,Not significant
ENSMUSG00000031824,2,0,5,m6A enriched
ENSMUSG00000031825,7,0,0,Not significant
ENSMUSG00000031826,1,0,6,m6A enriched
ENSMUSG00000031827,3,4,0,m6A depleted
ENSMUSG00000031828,5,0,2,Not significant
ENSMUSG00000031831,7,0,0,Not significant
ENSMUSG00000031832,7,0,0,Not significant
ENSMUSG00000031833,7,0,0,Not significant
ENSMUSG00000031834,4,3,0,m6A depleted
ENSMUSG00000031835,6,0,1,Not significant
ENSMUSG00000031837,3,4,0,m6A depleted
ENSMUSG00000031838,4,3,0,m6A depleted
ENSMUSG00000031839,6,1,0,Not significant
ENSMUSG00000031840,4,3,0,m6A depleted
ENSMUSG00000031841,7,0,0,Not significant
ENSMUSG00000031842,7,0,0,Not significant
ENSMUSG00000031843,5,1,1,Not significant
ENSMUSG00000031844,7,0,0,Not significant
ENSMUSG00000031845,5,0,0,Not significant
ENSMUSG00000031847,4,0,3,m6A enriched
ENSMUSG00000031848,4,3,0,m6A depleted
ENSMUSG00000031849,7,0,0,Not significant
ENSMUSG00000031851,2,5,0,m6A depleted
ENSMUSG00000031853,5,0,2,Not significant
ENSMUSG00000031858,7,0,0,Not significant
ENSMUSG00000031860,7,0,0,Not significant
ENSMUSG00000031861,6,0,1,Not significant
ENSMUSG00000031862,3,4,0,m6A depleted
ENSMUSG00000031864,5,2,0,Not significant
ENSMUSG00000031865,6,1,0,Not significant
ENSMUSG00000031870,6,1,0,Not significant
ENSMUSG00000031871,3,0,4,m6A enriched
ENSMUSG00000031872,7,0,0,Not significant
ENSMUSG00000031875,6,1,0,Not significant
ENSMUSG00000031877,1,0,0,Not significant
ENSMUSG00000031878,4,3,0,m6A depleted
ENSMUSG00000031879,5,2,0,Not significant
ENSMUSG00000031880,7,0,0,Not significant
ENSMUSG00000031883,6,1,0,Not significant
ENSMUSG00000031885,5,2,0,Not significant
ENSMUSG00000031886,1,0,0,Not significant
ENSMUSG00000031887,2,0,5,m6A enriched
ENSMUSG00000031889,7,0,0,Not significant
ENSMUSG00000031891,5,0,0,Not significant
ENSMUSG00000031893,5,0,0,Not significant
ENSMUSG00000031896,7,0,0,Not significant
ENSMUSG00000031897,4,3,0,m6A depleted
ENSMUSG00000031901,7,0,0,Not significant
ENSMUSG00000031902,6,0,1,Not significant
ENSMUSG00000031903,5,0,2,Not significant
ENSMUSG00000031904,7,0,0,Not significant
ENSMUSG00000031906,5,0,2,Not significant
ENSMUSG00000031907,2,0,5,m6A enriched
ENSMUSG00000031910,4,0,3,m6A enriched
ENSMUSG00000031913,5,0,2,Not significant
ENSMUSG00000031916,1,0,6,m6A enriched
ENSMUSG00000031917,5,0,2,Not significant
ENSMUSG00000031918,5,2,0,Not significant
ENSMUSG00000031919,2,0,0,Not significant
ENSMUSG00000031921,0,0,7,m6A enriched
ENSMUSG00000031922,7,0,0,Not significant
ENSMUSG00000031924,7,0,0,Not significant
ENSMUSG00000031925,2,0,5,m6A enriched
ENSMUSG00000031927,3,0,0,Not significant
ENSMUSG00000031928,5,2,0,Not significant
ENSMUSG00000031930,7,0,0,Not significant
ENSMUSG00000031931,1,0,6,m6A enriched
ENSMUSG00000031932,7,0,0,Not significant
ENSMUSG00000031933,4,0,0,Not significant
ENSMUSG00000031934,5,0,2,Not significant
ENSMUSG00000031935,5,2,0,Not significant
ENSMUSG00000031936,2,0,0,Not significant
ENSMUSG00000031937,4,0,3,m6A enriched
ENSMUSG00000031938,3,4,0,m6A depleted
ENSMUSG00000031939,7,0,0,Not significant
ENSMUSG00000031948,5,2,0,Not significant
ENSMUSG00000031949,6,0,1,Not significant
ENSMUSG00000031950,0,7,0,m6A depleted
ENSMUSG00000031951,7,0,0,Not significant
ENSMUSG00000031952,7,0,0,Not significant
ENSMUSG00000031953,7,0,0,Not significant
ENSMUSG00000031954,7,0,0,Not significant
ENSMUSG00000031955,2,0,5,m6A enriched
ENSMUSG00000031957,2,0,0,Not significant
ENSMUSG00000031958,2,1,0,Not significant
ENSMUSG00000031959,7,0,0,Not significant
ENSMUSG00000031960,4,3,0,m6A depleted
ENSMUSG00000031962,7,0,0,Not significant
ENSMUSG00000031963,5,2,0,Not significant
ENSMUSG00000031965,3,0,1,Not significant
ENSMUSG00000031967,6,1,0,Not significant
ENSMUSG00000031969,7,0,0,Not significant
ENSMUSG00000031970,1,0,6,m6A enriched
ENSMUSG00000031971,2,0,5,m6A enriched
ENSMUSG00000031972,6,1,0,Not significant
ENSMUSG00000031974,7,0,0,Not significant
ENSMUSG00000031976,5,0,2,Not significant
ENSMUSG00000031979,5,2,0,Not significant
ENSMUSG00000031980,2,0,1,Not significant
ENSMUSG00000031981,1,0,0,Not significant
ENSMUSG00000031982,7,0,0,Not significant
ENSMUSG00000031983,5,2,0,Not significant
ENSMUSG00000031984,5,0,2,Not significant
ENSMUSG00000031985,3,4,0,m6A depleted
ENSMUSG00000031986,4,0,3,m6A enriched
ENSMUSG00000031987,6,0,1,Not significant
ENSMUSG00000031988,5,2,0,Not significant
ENSMUSG00000031990,7,0,0,Not significant
ENSMUSG00000031991,3,0,0,Not significant
ENSMUSG00000031993,6,0,1,Not significant
ENSMUSG00000031994,5,0,2,Not significant
ENSMUSG00000031995,7,0,0,Not significant
ENSMUSG00000031996,4,3,0,m6A depleted
ENSMUSG00000031997,7,0,0,Not significant
ENSMUSG00000031998,1,0,0,Not significant
ENSMUSG00000032000,7,0,0,Not significant
ENSMUSG00000032002,4,3,0,m6A depleted
ENSMUSG00000032006,7,0,0,Not significant
ENSMUSG00000032009,4,3,0,m6A depleted
ENSMUSG00000032010,7,0,0,Not significant
ENSMUSG00000032011,6,1,0,Not significant
ENSMUSG00000032012,7,0,0,Not significant
ENSMUSG00000032013,7,0,0,Not significant
ENSMUSG00000032014,2,0,5,m6A enriched
ENSMUSG00000032015,7,0,0,Not significant
ENSMUSG00000032017,7,0,0,Not significant
ENSMUSG00000032018,6,1,0,Not significant
ENSMUSG00000032020,6,0,1,Not significant
ENSMUSG00000032021,2,0,1,Not significant
ENSMUSG00000032023,7,0,0,Not significant
ENSMUSG00000032024,2,0,5,m6A enriched
ENSMUSG00000032026,5,2,0,Not significant
ENSMUSG00000032028,7,0,0,Not significant
ENSMUSG00000032030,5,1,1,Not significant
ENSMUSG00000032033,7,0,0,Not significant
ENSMUSG00000032034,7,0,0,Not significant
ENSMUSG00000032035,7,0,0,Not significant
ENSMUSG00000032036,3,0,4,m6A enriched
ENSMUSG00000032038,2,5,0,m6A depleted
ENSMUSG00000032040,6,1,0,Not significant
ENSMUSG00000032041,5,0,2,Not significant
ENSMUSG00000032042,2,5,0,m6A depleted
ENSMUSG00000032044,4,0,3,m6A enriched
ENSMUSG00000032046,7,0,0,Not significant
ENSMUSG00000032047,4,3,0,m6A depleted
ENSMUSG00000032050,7,0,0,Not significant
ENSMUSG00000032051,3,4,0,m6A depleted
ENSMUSG00000032053,3,0,0,Not significant
ENSMUSG00000032057,5,0,0,Not significant
ENSMUSG00000032058,6,0,1,Not significant
ENSMUSG00000032059,7,0,0,Not significant
ENSMUSG00000032060,6,1,0,Not significant
ENSMUSG00000032062,6,0,1,Not significant
ENSMUSG00000032064,3,0,4,m6A enriched
ENSMUSG00000032065,6,0,0,Not significant
ENSMUSG00000032066,7,0,0,Not significant
ENSMUSG00000032067,3,4,0,m6A depleted
ENSMUSG00000032068,7,0,0,Not significant
ENSMUSG00000032076,2,5,0,m6A depleted
ENSMUSG00000032077,7,0,0,Not significant
ENSMUSG00000032078,6,0,1,Not significant
ENSMUSG00000032079,4,0,0,Not significant
ENSMUSG00000032080,4,0,0,Not significant
ENSMUSG00000032081,5,0,0,Not significant
ENSMUSG00000032083,7,0,0,Not significant
ENSMUSG00000032085,6,1,0,Not significant
ENSMUSG00000032086,5,0,2,Not significant
ENSMUSG00000032087,7,0,0,Not significant
ENSMUSG00000032089,4,0,3,m6A enriched
ENSMUSG00000032091,7,0,0,Not significant
ENSMUSG00000032092,6,1,0,Not significant
ENSMUSG00000032093,3,0,0,Not significant
ENSMUSG00000032096,5,2,0,Not significant
ENSMUSG00000032097,4,0,3,m6A enriched
ENSMUSG00000032098,3,0,0,Not significant
ENSMUSG00000032099,2,0,0,Not significant
ENSMUSG00000032101,4,3,0,m6A depleted
ENSMUSG00000032103,0,0,7,m6A enriched
ENSMUSG00000032105,7,0,0,Not significant
ENSMUSG00000032109,4,0,3,m6A enriched
ENSMUSG00000032112,1,6,0,m6A depleted
ENSMUSG00000032113,7,0,0,Not significant
ENSMUSG00000032114,3,4,0,m6A depleted
ENSMUSG00000032115,4,3,0,m6A depleted
ENSMUSG00000032116,2,5,0,m6A depleted
ENSMUSG00000032118,6,1,0,Not significant
ENSMUSG00000032119,7,0,0,Not significant
ENSMUSG00000032120,4,3,0,m6A depleted
ENSMUSG00000032121,6,1,0,Not significant
ENSMUSG00000032122,7,0,0,Not significant
ENSMUSG00000032123,1,6,0,m6A depleted
ENSMUSG00000032125,4,0,1,Not significant
ENSMUSG00000032126,3,4,0,m6A depleted
ENSMUSG00000032127,6,1,0,Not significant
ENSMUSG00000032128,4,3,0,m6A depleted
ENSMUSG00000032131,7,0,0,Not significant
ENSMUSG00000032135,2,5,0,m6A depleted
ENSMUSG00000032171,6,1,0,Not significant
ENSMUSG00000032172,5,0,2,Not significant
ENSMUSG00000032174,5,0,0,Not significant
ENSMUSG00000032175,4,3,0,m6A depleted
ENSMUSG00000032177,7,0,0,Not significant
ENSMUSG00000032178,4,3,0,m6A depleted
ENSMUSG00000032179,7,0,0,Not significant
ENSMUSG00000032180,6,1,0,Not significant
ENSMUSG00000032181,7,0,0,Not significant
ENSMUSG00000032182,3,4,0,m6A depleted
ENSMUSG00000032184,3,0,4,m6A enriched
ENSMUSG00000032185,6,1,0,Not significant
ENSMUSG00000032186,4,3,0,m6A depleted
ENSMUSG00000032187,5,2,0,Not significant
ENSMUSG00000032191,3,0,0,Not significant
ENSMUSG00000032192,3,4,0,m6A depleted
ENSMUSG00000032193,7,0,0,Not significant
ENSMUSG00000032194,7,0,0,Not significant
ENSMUSG00000032198,2,5,0,m6A depleted
ENSMUSG00000032199,0,0,7,m6A enriched
ENSMUSG00000032202,5,0,2,Not significant
ENSMUSG00000032204,5,0,0,Not significant
ENSMUSG00000032207,7,0,0,Not significant
ENSMUSG00000032212,6,0,1,Not significant
ENSMUSG00000032215,6,1,0,Not significant
ENSMUSG00000032216,4,3,0,m6A depleted
ENSMUSG00000032217,7,0,0,Not significant
ENSMUSG00000032218,5,2,0,Not significant
ENSMUSG00000032220,7,0,0,Not significant
ENSMUSG00000032221,6,0,1,Not significant
ENSMUSG00000032224,7,0,0,Not significant
ENSMUSG00000032226,4,0,0,Not significant
ENSMUSG00000032228,6,1,0,Not significant
ENSMUSG00000032231,5,2,0,Not significant
ENSMUSG00000032232,6,0,1,Not significant
ENSMUSG00000032235,6,0,1,Not significant
ENSMUSG00000032238,6,0,1,Not significant
ENSMUSG00000032239,6,0,1,Not significant
ENSMUSG00000032243,7,0,0,Not significant
ENSMUSG00000032244,3,0,4,m6A enriched
ENSMUSG00000032245,6,1,0,Not significant
ENSMUSG00000032246,7,0,0,Not significant
ENSMUSG00000032249,6,1,0,Not significant
ENSMUSG00000032251,7,0,0,Not significant
ENSMUSG00000032252,2,0,5,m6A enriched
ENSMUSG00000032253,5,0,2,Not significant
ENSMUSG00000032254,7,0,0,Not significant
ENSMUSG00000032257,3,0,0,Not significant
ENSMUSG00000032258,0,0,7,m6A enriched
ENSMUSG00000032259,7,0,0,Not significant
ENSMUSG00000032261,6,0,1,Not significant
ENSMUSG00000032262,6,1,0,Not significant
ENSMUSG00000032263,2,5,0,m6A depleted
ENSMUSG00000032264,6,1,0,Not significant
ENSMUSG00000032265,5,0,2,Not significant
ENSMUSG00000032267,4,3,0,m6A depleted
ENSMUSG00000032268,7,0,0,Not significant
ENSMUSG00000032269,7,0,0,Not significant
ENSMUSG00000032271,5,0,0,Not significant
ENSMUSG00000032274,1,0,0,Not significant
ENSMUSG00000032278,7,0,0,Not significant
ENSMUSG00000032279,2,5,0,m6A depleted
ENSMUSG00000032280,7,0,0,Not significant
ENSMUSG00000032281,4,3,0,m6A depleted
ENSMUSG00000032285,5,2,0,Not significant
ENSMUSG00000032288,1,0,6,m6A enriched
ENSMUSG00000032289,6,0,1,Not significant
ENSMUSG00000032290,7,0,0,Not significant
ENSMUSG00000032291,5,2,0,Not significant
ENSMUSG00000032293,5,2,0,Not significant
ENSMUSG00000032294,3,4,0,m6A depleted
ENSMUSG00000032295,1,6,0,m6A depleted
ENSMUSG00000032297,6,1,0,Not significant
ENSMUSG00000032298,5,2,0,Not significant
ENSMUSG00000032299,2,5,0,m6A depleted
ENSMUSG00000032300,1,0,6,m6A enriched
ENSMUSG00000032301,6,0,1,Not significant
ENSMUSG00000032303,5,0,2,Not significant
ENSMUSG00000032305,4,3,0,m6A depleted
ENSMUSG00000032306,2,5,0,m6A depleted
ENSMUSG00000032307,4,3,0,m6A depleted
ENSMUSG00000032308,7,0,0,Not significant
ENSMUSG00000032309,7,0,0,Not significant
ENSMUSG00000032311,5,0,2,Not significant
ENSMUSG00000032312,7,0,0,Not significant
ENSMUSG00000032313,7,0,0,Not significant
ENSMUSG00000032314,1,6,0,m6A depleted
ENSMUSG00000032315,5,0,0,Not significant
ENSMUSG00000032316,7,0,0,Not significant
ENSMUSG00000032318,5,0,0,Not significant
ENSMUSG00000032320,5,2,0,Not significant
ENSMUSG00000032322,5,2,0,Not significant
ENSMUSG00000032323,5,0,0,Not significant
ENSMUSG00000032324,1,6,0,m6A depleted
ENSMUSG00000032327,5,2,0,Not significant
ENSMUSG00000032328,7,0,0,Not significant
ENSMUSG00000032329,4,0,3,m6A enriched
ENSMUSG00000032330,2,5,0,m6A depleted
ENSMUSG00000032332,5,2,0,Not significant
ENSMUSG00000032333,3,0,4,m6A enriched
ENSMUSG00000032334,3,0,4,m6A enriched
ENSMUSG00000032336,6,1,0,Not significant
ENSMUSG00000032338,5,0,2,Not significant
ENSMUSG00000032340,7,0,0,Not significant
ENSMUSG00000032342,6,1,0,Not significant
ENSMUSG00000032343,3,0,0,Not significant
ENSMUSG00000032344,7,0,0,Not significant
ENSMUSG00000032346,1,0,0,Not significant
ENSMUSG00000032348,6,1,0,Not significant
ENSMUSG00000032349,6,1,0,Not significant
ENSMUSG00000032350,6,1,0,Not significant
ENSMUSG00000032352,3,0,4,m6A enriched
ENSMUSG00000032353,1,6,0,m6A depleted
ENSMUSG00000032355,3,0,0,Not significant
ENSMUSG00000032356,5,2,0,Not significant
ENSMUSG00000032358,4,0,3,m6A enriched
ENSMUSG00000032359,6,1,0,Not significant
ENSMUSG00000032360,6,0,1,Not significant
ENSMUSG00000032363,7,0,0,Not significant
ENSMUSG00000032366,6,0,1,Not significant
ENSMUSG00000032368,6,0,1,Not significant
ENSMUSG00000032369,5,2,0,Not significant
ENSMUSG00000032370,0,0,7,m6A enriched
ENSMUSG00000032372,7,0,0,Not significant
ENSMUSG00000032373,7,0,0,Not significant
ENSMUSG00000032374,7,0,0,Not significant
ENSMUSG00000032375,7,0,0,Not significant
ENSMUSG00000032376,4,3,0,m6A depleted
ENSMUSG00000032377,5,0,0,Not significant
ENSMUSG00000032380,7,0,0,Not significant
ENSMUSG00000032381,1,6,0,m6A depleted
ENSMUSG00000032382,4,3,0,m6A depleted
ENSMUSG00000032383,2,5,0,m6A depleted
ENSMUSG00000032384,4,0,3,m6A enriched
ENSMUSG00000032386,3,4,0,m6A depleted
ENSMUSG00000032387,5,2,0,Not significant
ENSMUSG00000032388,7,0,0,Not significant
ENSMUSG00000032392,6,1,0,Not significant
ENSMUSG00000032393,3,3,1,m6A depleted
ENSMUSG00000032394,7,0,0,Not significant
ENSMUSG00000032396,7,0,0,Not significant
ENSMUSG00000032397,6,0,1,Not significant
ENSMUSG00000032398,6,0,1,Not significant
ENSMUSG00000032399,3,4,0,m6A depleted
ENSMUSG00000032400,7,0,0,Not significant
ENSMUSG00000032401,5,0,0,Not significant
ENSMUSG00000032402,4,0,3,m6A enriched
ENSMUSG00000032403,6,0,1,Not significant
ENSMUSG00000032405,7,0,0,Not significant
ENSMUSG00000032407,3,4,0,m6A depleted
ENSMUSG00000032409,3,3,1,m6A depleted
ENSMUSG00000032410,5,2,0,Not significant
ENSMUSG00000032411,4,3,0,m6A depleted
ENSMUSG00000032412,6,0,1,Not significant
ENSMUSG00000032413,4,3,0,m6A depleted
ENSMUSG00000032415,3,4,0,m6A depleted
ENSMUSG00000032417,5,0,2,Not significant
ENSMUSG00000032418,2,5,0,m6A depleted
ENSMUSG00000032419,4,0,3,m6A enriched
ENSMUSG00000032420,7,0,0,Not significant
ENSMUSG00000032422,4,3,0,m6A depleted
ENSMUSG00000032423,3,3,1,m6A depleted
ENSMUSG00000032425,7,0,0,Not significant
ENSMUSG00000032431,6,1,0,Not significant
ENSMUSG00000032434,2,5,0,m6A depleted
ENSMUSG00000032435,6,1,0,Not significant
ENSMUSG00000032436,5,2,0,Not significant
ENSMUSG00000032437,7,0,0,Not significant
ENSMUSG00000032440,7,0,0,Not significant
ENSMUSG00000032443,7,0,0,Not significant
ENSMUSG00000032446,7,0,0,Not significant
ENSMUSG00000032449,3,3,1,m6A depleted
ENSMUSG00000032451,2,0,0,Not significant
ENSMUSG00000032452,4,3,0,m6A depleted
ENSMUSG00000032454,1,0,0,Not significant
ENSMUSG00000032456,7,0,0,Not significant
ENSMUSG00000032458,2,5,0,m6A depleted
ENSMUSG00000032459,4,3,0,m6A depleted
ENSMUSG00000032462,7,0,0,Not significant
ENSMUSG00000032463,7,0,0,Not significant
ENSMUSG00000032468,6,1,0,Not significant
ENSMUSG00000032469,0,0,7,m6A enriched
ENSMUSG00000032470,4,3,0,m6A depleted
ENSMUSG00000032473,4,0,0,Not significant
ENSMUSG00000032475,1,0,6,m6A enriched
ENSMUSG00000032477,6,0,1,Not significant
ENSMUSG00000032478,6,1,0,Not significant
ENSMUSG00000032479,7,0,0,Not significant
ENSMUSG00000032480,7,0,0,Not significant
ENSMUSG00000032481,4,1,2,Not significant
ENSMUSG00000032482,1,0,6,m6A enriched
ENSMUSG00000032484,3,0,0,Not significant
ENSMUSG00000032485,4,3,0,m6A depleted
ENSMUSG00000032487,6,1,0,Not significant
ENSMUSG00000032489,6,1,0,Not significant
ENSMUSG00000032491,5,2,0,Not significant
ENSMUSG00000032492,2,0,5,m6A enriched
ENSMUSG00000032494,7,0,0,Not significant
ENSMUSG00000032495,7,0,0,Not significant
ENSMUSG00000032496,5,0,0,Not significant
ENSMUSG00000032497,6,1,0,Not significant
ENSMUSG00000032498,6,1,0,Not significant
ENSMUSG00000032500,6,0,1,Not significant
ENSMUSG00000032501,2,0,5,m6A enriched
ENSMUSG00000032502,7,0,0,Not significant
ENSMUSG00000032503,6,0,1,Not significant
ENSMUSG00000032504,4,3,0,m6A depleted
ENSMUSG00000032507,7,0,0,Not significant
ENSMUSG00000032508,5,2,0,Not significant
ENSMUSG00000032511,7,0,0,Not significant
ENSMUSG00000032512,5,0,2,Not significant
ENSMUSG00000032513,7,0,0,Not significant
ENSMUSG00000032514,7,0,0,Not significant
ENSMUSG00000032515,4,0,3,m6A enriched
ENSMUSG00000032517,7,0,0,Not significant
ENSMUSG00000032518,0,7,0,m6A depleted
ENSMUSG00000032519,6,1,0,Not significant
ENSMUSG00000032523,4,1,0,Not significant
ENSMUSG00000032525,7,0,0,Not significant
ENSMUSG00000032526,7,0,0,Not significant
ENSMUSG00000032527,6,1,0,Not significant
ENSMUSG00000032528,7,0,0,Not significant
ENSMUSG00000032530,3,0,0,Not significant
ENSMUSG00000032531,4,0,3,m6A enriched
ENSMUSG00000032532,5,2,0,Not significant
ENSMUSG00000032534,7,0,0,Not significant
ENSMUSG00000032536,7,0,0,Not significant
ENSMUSG00000032537,2,0,5,m6A enriched
ENSMUSG00000032540,7,0,0,Not significant
ENSMUSG00000032547,3,4,0,m6A depleted
ENSMUSG00000032548,7,0,0,Not significant
ENSMUSG00000032549,4,3,0,m6A depleted
ENSMUSG00000032551,5,0,2,Not significant
ENSMUSG00000032553,4,3,0,m6A depleted
ENSMUSG00000032554,5,2,0,Not significant
ENSMUSG00000032555,3,4,0,m6A depleted
ENSMUSG00000032556,7,0,0,Not significant
ENSMUSG00000032557,7,0,0,Not significant
ENSMUSG00000032558,4,3,0,m6A depleted
ENSMUSG00000032560,3,3,1,m6A depleted
ENSMUSG00000032561,7,0,0,Not significant
ENSMUSG00000032562,4,3,0,m6A depleted
ENSMUSG00000032563,5,2,0,Not significant
ENSMUSG00000032564,4,3,0,m6A depleted
ENSMUSG00000032565,3,0,4,m6A enriched
ENSMUSG00000032567,6,0,1,Not significant
ENSMUSG00000032570,6,1,0,Not significant
ENSMUSG00000032571,4,0,3,m6A enriched
ENSMUSG00000032572,7,0,0,Not significant
ENSMUSG00000032575,3,0,4,m6A enriched
ENSMUSG00000032577,6,1,0,Not significant
ENSMUSG00000032578,6,0,1,Not significant
ENSMUSG00000032579,7,0,0,Not significant
ENSMUSG00000032580,3,4,0,m6A depleted
ENSMUSG00000032582,2,0,5,m6A enriched
ENSMUSG00000032583,4,0,3,m6A enriched
ENSMUSG00000032584,7,0,0,Not significant
ENSMUSG00000032586,7,0,0,Not significant
ENSMUSG00000032589,2,0,5,m6A enriched
ENSMUSG00000032590,3,4,0,m6A depleted
ENSMUSG00000032591,4,0,0,Not significant
ENSMUSG00000032593,5,0,2,Not significant
ENSMUSG00000032594,6,0,1,Not significant
ENSMUSG00000032595,3,0,0,Not significant
ENSMUSG00000032596,7,0,0,Not significant
ENSMUSG00000032598,5,2,0,Not significant
ENSMUSG00000032599,3,0,4,m6A enriched
ENSMUSG00000032601,7,0,0,Not significant
ENSMUSG00000032602,7,0,0,Not significant
ENSMUSG00000032604,2,5,0,m6A depleted
ENSMUSG00000032606,6,1,0,Not significant
ENSMUSG00000032607,1,6,0,m6A depleted
ENSMUSG00000032609,5,2,0,Not significant
ENSMUSG00000032611,7,0,0,Not significant
ENSMUSG00000032612,7,0,0,Not significant
ENSMUSG00000032615,7,0,0,Not significant
ENSMUSG00000032621,6,0,1,Not significant
ENSMUSG00000032624,6,0,1,Not significant
ENSMUSG00000032625,6,0,1,Not significant
ENSMUSG00000032633,6,0,1,Not significant
ENSMUSG00000032637,2,5,0,m6A depleted
ENSMUSG00000032640,1,0,6,m6A enriched
ENSMUSG00000032641,1,0,6,m6A enriched
ENSMUSG00000032643,7,0,0,Not significant
ENSMUSG00000032648,4,3,0,m6A depleted
ENSMUSG00000032649,4,0,3,m6A enriched
ENSMUSG00000032652,7,0,0,Not significant
ENSMUSG00000032656,4,0,3,m6A enriched
ENSMUSG00000032657,2,5,0,m6A depleted
ENSMUSG00000032661,5,0,0,Not significant
ENSMUSG00000032666,6,0,1,Not significant
ENSMUSG00000032667,3,4,0,m6A depleted
ENSMUSG00000032671,3,0,0,Not significant
ENSMUSG00000032673,5,0,2,Not significant
ENSMUSG00000032679,6,1,0,Not significant
ENSMUSG00000032680,7,0,0,Not significant
ENSMUSG00000032688,7,0,0,Not significant
ENSMUSG00000032690,7,0,0,Not significant
ENSMUSG00000032691,3,0,2,Not significant
ENSMUSG00000032698,7,0,0,Not significant
ENSMUSG00000032702,1,0,6,m6A enriched
ENSMUSG00000032705,7,0,0,Not significant
ENSMUSG00000032712,3,0,4,m6A enriched
ENSMUSG00000032714,6,0,1,Not significant
ENSMUSG00000032715,5,0,2,Not significant
ENSMUSG00000032717,6,1,0,Not significant
ENSMUSG00000032718,6,0,1,Not significant
ENSMUSG00000032719,3,0,0,Not significant
ENSMUSG00000032724,6,0,1,Not significant
ENSMUSG00000032725,7,0,0,Not significant
ENSMUSG00000032726,5,0,0,Not significant
ENSMUSG00000032727,4,0,3,m6A enriched
ENSMUSG00000032733,0,0,7,m6A enriched
ENSMUSG00000032735,4,3,0,m6A depleted
ENSMUSG00000032737,4,3,0,m6A depleted
ENSMUSG00000032739,2,0,0,Not significant
ENSMUSG00000032740,4,0,3,m6A enriched
ENSMUSG00000032741,4,3,0,m6A depleted
ENSMUSG00000032743,7,0,0,Not significant
ENSMUSG00000032744,3,0,4,m6A enriched
ENSMUSG00000032745,5,0,2,Not significant
ENSMUSG00000032750,7,0,0,Not significant
ENSMUSG00000032754,6,1,0,Not significant
ENSMUSG00000032757,3,4,0,m6A depleted
ENSMUSG00000032763,3,4,0,m6A depleted
ENSMUSG00000032766,4,0,3,m6A enriched
ENSMUSG00000032769,5,0,0,Not significant
ENSMUSG00000032773,0,0,3,m6A enriched
ENSMUSG00000032776,7,0,0,Not significant
ENSMUSG00000032777,4,3,0,m6A depleted
ENSMUSG00000032782,6,1,0,Not significant
ENSMUSG00000032783,7,0,0,Not significant
ENSMUSG00000032786,5,2,0,Not significant
ENSMUSG00000032788,3,4,0,m6A depleted
