"","hl","m6a.enrich","ARE.cts","tAI"
"hl",1,-0.436741977418796,-0.176076602938348,0.178081201350563
"m6a.enrich",-0.436741977418796,1,0.310421688818042,-0.142122819500372
"ARE.cts",-0.176076602938348,0.310421688818042,1,-0.203450707833742
"tAI",0.178081201350563,-0.142122819500372,-0.203450707833742,1
